"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseUp1","16:30:00","2018-07-26",0.103333,"After"
"NeuseUp1","16:45:00","2018-07-26",0.103333,"After"
"NeuseUp1","17:00:00","2018-07-26",0.146667,"After"
"NeuseUp1","17:15:00","2018-07-26",0.226667,"After"
"NeuseUp1","17:30:00","2018-07-26",0.22,"After"
"NeuseUp1","17:45:00","2018-07-26",0.26,"After"
"NeuseUp1","18:00:00","2018-07-26",0.363333,"After"
"NeuseUp1","18:15:00","2018-07-26",0.283333,"After"
"NeuseUp1","18:30:00","2018-07-26",0.23,"After"
"NeuseUp1","18:45:00","2018-07-26",0.246667,"After"
"NeuseUp1","19:00:00","2018-07-26",0.216667,"After"
"NeuseUp1","19:15:00","2018-07-26",0.193333,"After"
"NeuseUp1","19:30:00","2018-07-26",0.206667,"After"
"NeuseUp1","19:45:00","2018-07-26",0.156667,"After"
"NeuseUp1","20:00:00","2018-07-26",0.306667,"After"
"NeuseUp1","20:15:00","2018-07-26",0.21,"After"
"NeuseUp1","20:30:00","2018-07-26",0.293333,"After"
"NeuseUp1","20:45:00","2018-07-26",0.476667,"After"
"NeuseUp1","21:00:00","2018-07-26",0.44,"After"
"NeuseUp1","21:15:00","2018-07-26",0.376667,"After"
"NeuseUp1","21:30:00","2018-07-26",0.32,"After"
"NeuseUp1","21:45:00","2018-07-26",0.503333,"After"
"NeuseUp1","22:00:00","2018-07-26",0.256667,"After"
"NeuseUp1","22:15:00","2018-07-26",0.15,"After"
"NeuseUp1","22:30:00","2018-07-26",0.21,"After"
"NeuseUp1","22:45:00","2018-07-26",0.37,"After"
"NeuseUp1","23:00:00","2018-07-26",0.386667,"After"
"NeuseUp1","23:15:00","2018-07-26",0.39,"After"
"NeuseUp1","23:30:00","2018-07-26",0.153333,"After"
"NeuseUp1","23:45:00","2018-07-26",0.24,"After"
"NeuseUp1","00:00:00","2018-07-27",0.253333,"After"
"NeuseUp1","00:15:00","2018-07-27",0.156667,"After"
"NeuseUp1","00:30:00","2018-07-27",0.31,"After"
"NeuseUp1","00:45:00","2018-07-27",0.266667,"After"
"NeuseUp1","01:00:00","2018-07-27",0.2,"After"
"NeuseUp1","01:15:00","2018-07-27",0.11,"After"
"NeuseUp1","01:30:00","2018-07-27",0.11,"After"
"NeuseUp1","01:45:00","2018-07-27",0.183333,"After"
"NeuseUp1","02:00:00","2018-07-27",0.176667,"After"
"NeuseUp1","02:15:00","2018-07-27",0.123333,"After"
"NeuseUp1","02:30:00","2018-07-27",0.113333,"After"
"NeuseUp1","02:45:00","2018-07-27",0.13,"After"
"NeuseUp1","03:00:00","2018-07-27",0.0766667,"After"
"NeuseUp1","03:15:00","2018-07-27",0.12,"After"
"NeuseUp1","03:30:00","2018-07-27",0.07,"After"
"NeuseUp1","03:45:00","2018-07-27",0.07,"After"
"NeuseUp1","04:00:00","2018-07-27",0.173333,"After"
"NeuseUp1","04:15:00","2018-07-27",0.166667,"After"
"NeuseUp1","04:30:00","2018-07-27",0.11,"After"
"NeuseUp1","04:45:00","2018-07-27",0.113333,"After"
"NeuseUp1","05:00:00","2018-07-27",0.0566667,"After"
"NeuseUp1","05:15:00","2018-07-27",0.05,"After"
"NeuseUp1","05:30:00","2018-07-27",0.07,"After"
"NeuseUp1","05:45:00","2018-07-27",0.0466667,"After"
"NeuseUp1","06:00:00","2018-07-27",0.0533333,"After"
"NeuseUp1","06:15:00","2018-07-27",0.07,"After"
"NeuseUp1","06:30:00","2018-07-27",0.0333333,"After"
"NeuseUp1","06:45:00","2018-07-27",0.0466667,"After"
"NeuseUp1","07:00:00","2018-07-27",0.03,"After"
"NeuseUp1","07:15:00","2018-07-27",0.0233333,"After"
