"Date","AvgDO"
2014-08-30,6.76138895833333
2014-08-31,6.63597239583333
2014-09-01,6.4435065625
2014-09-02,6.30065979166667
2014-09-03,6.16628489583333
2014-09-04,6.04065947916667
2014-09-05,6.517881875
2014-09-06,6.474201875
2014-09-07,6.3998265625
2014-09-08,6.73194364583333
2014-09-09,6.89798625
2014-09-10,6.79062510416667
2014-09-11,6.5976040625
2014-09-12,6.54954822916667
2014-09-13,6.85878479166667
2014-09-14,6.87857677083333
2014-09-15,7.17909770833333
2014-09-16,7.04833375
2014-09-17,6.88305510416667
2014-09-18,7.0400003125
2014-09-19,7.16774322916667
2014-09-20,7.26791708333333
2014-09-21,7.11114583333333
2014-09-22,6.987256875
2014-09-23,7.3220309375
2014-09-24,7.8524303125
2014-09-25,8.01968760416667
2014-09-26,7.74388854166667
2014-09-27,7.72374989583333
2014-09-28,7.70038197916667
2014-09-29,7.57635447916667
2014-09-30,7.63583302083333
2014-10-01,7.70954833333333
2014-10-02,7.63135427083333
2014-10-03,7.45121520833333
2014-10-04,7.16861125
2014-10-05,7.7619103125
2014-10-06,8.00954895833333
2014-10-07,7.84725666666667
2014-10-08,7.768020625
2014-10-09,7.77701385416667
2014-10-10,7.85517375
2014-10-11,7.468194375
2014-10-12,7.45499989583333
2014-10-13,7.77583322916667
2014-10-14,7.6257290625
2014-10-15,7.39697885416667
2014-10-16,7.621666875
2014-10-17,7.78090291666667
2014-10-18,7.72895875
2014-10-19,7.817326875
2014-10-20,8.11500041666667
2014-10-21,NA
2014-10-22,8.28729166666667
2014-10-23,8.4939928125
2014-10-24,8.5237503125
2014-10-25,8.57322885416667
2014-10-26,8.50774375
2014-10-27,8.50243052083333
2014-10-28,8.59833333333333
2014-10-29,8.51927114583333
2014-10-30,8.21694427083333
2014-10-31,8.59513895833333
2014-11-01,8.5881946875
2014-11-02,8.9698609375
2014-11-03,9.3589903125
2014-11-04,9.28180666666667
2014-11-05,9.4975671875
2014-11-06,8.94437552083333
2014-11-07,8.83815979166667
2014-11-08,9.44548447916667
2014-11-09,9.6655203125
2014-11-10,9.76868177083333
2014-11-11,9.75836947916667
2014-11-12,9.4636796875
2014-11-13,9.40534708333333
2014-11-14,10.1085066666667
2014-11-15,10.9492715625
2014-11-16,11.1142020833333
2014-11-17,10.1503121875
2014-11-18,9.21132072916667
2014-11-19,10.8840291666667
2014-11-20,11.1218041666667
2014-11-21,11.0059729166667
2014-11-22,11.799375
2014-11-23,11.58059375
2014-11-24,9.72159979166667
2014-11-25,8.88204864583333
2014-11-26,9.58024302083333
2014-11-27,10.0153147916667
2014-11-28,10.4899666666667
2014-11-29,10.9572239583333
2014-11-30,10.9030479166667
2014-12-01,10.4701375
2014-12-02,10.704475
2014-12-03,10.83404375
2014-12-04,10.8889239583333
2014-12-05,11.3838510416667
2014-12-06,10.8738583333333
2014-12-07,10.8184364583333
2014-12-08,11.141846875
2014-12-09,10.9614916666667
2014-12-10,10.9970833333333
2014-12-11,11.134196875
2014-12-12,11.4310041666667
2014-12-13,11.4379520833333
2014-12-14,11.34041875
2014-12-15,11.3355739583333
2014-12-16,11.4303447916667
2014-12-17,11.3837489583333
2014-12-18,11.4865989583333
2014-12-19,11.541078125
2014-12-20,11.5988510416667
2014-12-21,11.6891
2014-12-22,11.5924
2014-12-23,11.5805510416667
2014-12-24,11.31698125
2014-12-25,10.6338864583333
2014-12-26,11.2704177083333
2014-12-27,11.4608729166667
2014-12-28,11.2737135416667
2014-12-29,10.993509375
2014-12-30,11.4611447916667
2014-12-31,12.359375
2015-01-01,12.52448125
2015-01-02,NA
2015-01-03,NA
2015-01-04,NA
2015-02-09,NA
2015-02-10,11.798396875
2015-02-11,12.393196875
2015-02-12,13.3348260416667
2015-02-13,13.1738489583333
2015-02-14,13.0140291666667
2015-02-15,13.0020458333333
2015-02-16,13.3051427083333
2015-02-17,13.3358385416667
2015-02-18,13.3278135416667
2015-02-19,13.214721875
2015-02-20,13.5855552083333
2015-02-21,13.6635770833333
2015-02-22,13.4106604166667
2015-02-23,13.1640239583333
2015-02-24,13.4495802083333
2015-02-25,13.5521875
2015-02-26,13.53250625
2015-02-27,13.7340645833333
2015-02-28,14.094515625
2015-03-01,14.082290625
2015-03-02,13.8782989583333
2015-03-03,14.0919083333333
2015-03-04,14.2365645833333
2015-03-05,13.856665625
2015-03-06,13.7804875
2015-03-07,14.1370479166667
2015-03-08,14.051775
2015-03-09,13.8760739583333
2015-03-10,13.7713875
2015-03-11,13.098153125
2015-03-12,12.5840270833333
2015-03-13,12.667290625
2015-03-14,12.11305
2015-03-15,11.7829572916667
2015-03-16,11.720315625
2015-03-17,11.487815625
2015-03-18,11.1757666666667
2015-03-19,11.101496875
2015-03-20,11.2824989583333
2015-03-21,11.253890625
2015-03-22,11.0809010416667
2015-03-23,11.194275
2015-03-24,11.9315604166667
2015-03-25,11.8703083333333
2015-03-26,11.4654875
2015-03-27,11.1919114583333
2015-03-28,11.3190979166667
2015-03-29,11.4357989583333
2015-03-30,11.359271875
2015-03-31,10.9270125
2015-04-01,10.7275375
2015-04-02,10.754484375
2015-04-03,10.0239960416667
2015-04-04,9.67975760416667
2015-04-05,10.0630535416667
2015-04-06,9.98892708333333
2015-04-07,9.67211822916667
2015-04-08,9.26545145833333
2015-04-09,8.25135416666667
2015-04-10,6.90788208333333
2015-04-11,7.75059020833333
2015-04-12,8.0214928125
2015-04-13,8.80191020833333
2015-04-14,8.760971875
2015-04-15,7.43802052083333
2015-04-16,9.632778125
2015-04-17,9.55149270833333
2015-04-18,9.31145791666667
2015-04-19,9.09687489583333
2015-04-20,8.2620140625
2015-04-21,8.44687541666667
2015-04-22,9.48569427083333
2015-04-23,9.67739614583333
2015-04-24,9.60236104166667
2015-04-25,9.09892364583333
2015-04-26,9.09954854166667
2015-04-27,9.08687489583333
2015-04-28,8.8721525
2015-04-29,8.8179509375
2015-04-30,8.61465291666667
2015-05-01,8.49767364583333
2015-05-02,8.67895833333333
2015-05-03,8.51118072916667
2015-05-04,8.29836770833333
2015-05-05,8.57385385416667
2015-05-06,8.49819375
2015-05-07,8.27017375
2015-05-08,7.7279171875
2015-05-09,7.3728821875
2015-05-10,7.17847239583333
2015-05-11,7.05031229166667
2015-05-12,6.99649291666667
2015-05-13,6.79788197916667
2015-05-14,6.897083125
2015-05-15,6.32791635416667
2015-05-16,6.25295145833333
2015-05-17,6.15284697916667
2015-05-18,5.758298125
2015-05-19,5.554028125
2015-05-20,5.92968760416667
2015-05-21,5.81625041666667
2015-05-22,6.18482614583333
2015-05-23,6.0244790625
2015-05-24,5.281631875
2015-05-25,NA
2015-05-26,7.33461854166667
2015-05-27,7.14947916666667
2015-05-28,6.94968677083333
2015-05-29,7.04520822916667
2015-05-30,7.00114625
2015-05-31,6.96350729166667
2015-06-01,6.74732614583333
2015-06-02,6.64786489583333
2015-06-03,7.15489614583333
2015-06-04,7.3836459375
