"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseDown2A","23:00:00","2018-03-13",2.28,"After"
"NeuseDown2A","23:15:00","2018-03-13",2.23333,"After"
"NeuseDown2A","23:30:00","2018-03-13",2.19667,"After"
"NeuseDown2A","23:45:00","2018-03-13",2.16,"After"
"NeuseDown2A","00:00:00","2018-03-14",2.14,"After"
"NeuseDown2A","00:15:00","2018-03-14",2.11667,"After"
"NeuseDown2A","00:30:00","2018-03-14",2.09333,"After"
"NeuseDown2A","00:45:00","2018-03-14",2.07,"After"
"NeuseDown2A","01:00:00","2018-03-14",2.03,"After"
"NeuseDown2A","01:15:00","2018-03-14",1.98667,"After"
"NeuseDown2A","01:30:00","2018-03-14",1.95,"After"
"NeuseDown2A","01:45:00","2018-03-14",1.91667,"After"
"NeuseDown2A","02:00:00","2018-03-14",1.86,"After"
"NeuseDown2A","02:15:00","2018-03-14",1.79667,"After"
"NeuseDown2A","02:30:00","2018-03-14",1.73667,"After"
"NeuseDown2A","02:45:00","2018-03-14",1.69667,"After"
"NeuseDown2A","03:00:00","2018-03-14",1.64667,"After"
"NeuseDown2A","03:15:00","2018-03-14",1.59333,"After"
"NeuseDown2A","03:30:00","2018-03-14",1.54667,"After"
"NeuseDown2A","03:45:00","2018-03-14",1.52333,"After"
"NeuseDown2A","04:00:00","2018-03-14",1.52333,"After"
"NeuseDown2A","04:15:00","2018-03-14",1.51,"After"
"NeuseDown2A","04:30:00","2018-03-14",1.46333,"After"
"NeuseDown2A","04:45:00","2018-03-14",1.39667,"After"
"NeuseDown2A","05:00:00","2018-03-14",1.33333,"After"
"NeuseDown2A","05:15:00","2018-03-14",1.29667,"After"
"NeuseDown2A","05:30:00","2018-03-14",1.27,"After"
"NeuseDown2A","05:45:00","2018-03-14",1.24667,"After"
"NeuseDown2A","06:00:00","2018-03-14",1.2,"After"
"NeuseDown2A","06:15:00","2018-03-14",1.13667,"After"
"NeuseDown2A","06:30:00","2018-03-14",1.06,"After"
"NeuseDown2A","06:45:00","2018-03-14",1.00667,"After"
"NeuseDown2A","07:00:00","2018-03-14",0.94,"After"
"NeuseDown2A","07:15:00","2018-03-14",0.863333,"After"
"NeuseDown2A","07:30:00","2018-03-14",0.813333,"After"
"NeuseDown2A","07:45:00","2018-03-14",0.75,"After"
