"Date","MinDO","Location","TimeStamp"
2014-12-05,11.09,"Upstream1","Before"
2014-12-06,10.7067,"Upstream1","Before"
2014-12-07,10.58,"Upstream1","Before"
2014-12-08,10.8667,"Upstream1","Before"
2014-12-09,10.64,"Upstream1","Before"
2014-12-10,10.7267,"Upstream1","Before"
2014-12-11,10.7033,"Upstream1","Before"
2014-12-12,10.9167,"Upstream1","Before"
2014-12-13,10.93,"Upstream1","Before"
2014-12-14,10.95,"Upstream1","Before"
2014-12-15,10.8467,"Upstream1","Before"
2014-12-16,11.1633,"Upstream1","Before"
2014-12-17,11.0967,"Upstream1","Before"
2014-12-18,11.1567,"Upstream1","Before"
2014-12-19,11.19,"Upstream1","Before"
2014-12-20,11.2267,"Upstream1","Before"
2014-12-21,11.33,"Upstream1","Before"
2014-12-22,11.34,"Upstream1","Before"
2014-12-23,11.2967,"Upstream1","Before"
2014-12-24,10.61,"Upstream1","Before"
2014-12-25,10.6067,"Upstream1","Before"
2014-12-26,11.0933,"Upstream1","Before"
2014-12-27,11.2867,"Upstream1","Before"
2014-12-28,11.1833,"Upstream1","Before"
2014-12-29,11.0133,"Upstream1","Before"
2014-12-30,11.3833,"Upstream1","Before"
2014-12-31,12.22,"Upstream1","Before"
2015-01-01,12.3967,"Upstream1","Before"
2015-01-02,12.39,"Upstream1","Before"
2015-02-09,8.70667,"Upstream1","Before"
2015-02-10,11.89,"Upstream1","Before"
2015-02-11,12.18,"Upstream1","Before"
2015-02-12,13.0133,"Upstream1","Before"
2015-02-13,13.0167,"Upstream1","Before"
2015-02-14,12.8933,"Upstream1","Before"
2015-02-15,12.6733,"Upstream1","Before"
2015-02-16,13.1667,"Upstream1","Before"
2015-02-17,13.15,"Upstream1","Before"
2015-02-18,13.1367,"Upstream1","Before"
2015-02-19,12.8867,"Upstream1","Before"
2015-02-20,13.32,"Upstream1","Before"
2015-02-21,13.4467,"Upstream1","Before"
2015-02-22,13.3033,"Upstream1","Before"
2015-02-23,13.16,"Upstream1","Before"
2015-02-24,13.2933,"Upstream1","Before"
2015-02-25,13.36,"Upstream1","Before"
2015-02-26,13.4,"Upstream1","Before"
2015-02-27,13.6467,"Upstream1","Before"
2015-02-28,14,"Upstream1","Before"
2015-03-01,14.12,"Upstream1","Before"
2015-03-02,13.9867,"Upstream1","Before"
2015-03-03,14.1267,"Upstream1","Before"
2015-03-04,14.1767,"Upstream1","Before"
2015-03-05,13.84,"Upstream1","Before"
